Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0268755,movie,Watchtower,2001,100,"Drama,Romance,Thriller"
tt0268762,movie,Wrong Number,2001,97,Thriller
tt0268789,tvSeries,The Chris Isaak Show,2001,45,"Comedy,Music"
tt0268909,movie,Les aliénés,2001,98,"Crime,Thriller"
tt0268917,movie,Amatørene,2001,88,"Comedy,Crime,Drama"
tt0268926,movie,"Amor, curiosidad, prozak y dudas",2001,99,Comedy
tt0268930,movie,Anarchisták,2001,80,"Drama,Fantasy"
tt0268978,movie,A Beautiful Mind,2001,135,"Biography,Drama,Mystery"
tt0268992,movie,Big Apple,2002,97,Comedy
tt0268995,movie,The Majestic,2001,152,"Drama,Romance"
tt0269058,movie,Ceci est mon corps,2001,87,Drama
tt0269095,movie,City by the Sea,2002,108,"Crime,Drama,Mystery"
tt0269105,movie,Confession d'un dragueur,2001,90,Comedy
tt0269138,movie,De l'amour,2001,90,Drama
tt0269184,movie,Az egér elöször alszik el,2001,100,Drama
tt0269191,movie,Em Volta,2002,107,Drama
tt0269200,movie,La espalda de Dios,2001,136,Drama
tt0269228,movie,La fille de son père,2001,90,Drama
tt0269281,movie,Global Heresy,2002,106,"Comedy,Drama,Music"
tt0269329,movie,Betty Fisher et autres histoires,2001,103,"Comedy,Crime,Drama"
tt0269341,movie,Two Can Play That Game,2001,90,"Comedy,Romance"
tt0269347,movie,The Hunted,2003,94,"Action,Crime,Drama"
tt0269350,movie,Deza-Femijet (Kosovo 2000),2001,90,Documentary
tt0269356,movie,Ice Planet,2001,83,"Action,Adventure,Sci-Fi"
tt0269376,movie,Island Prey,2001,93,"Drama,Romance,Thriller"
tt0269388,movie,Jacobs frestelse,2001,82,"Comedy,Drama"
tt0269408,movie,The Journeyman,2001,93,Western
tt0269433,movie,Kattbreven,2001,90,Family
tt0269458,movie,Kvartett,2001,90,Drama
tt0269461,movie,Laissez-passer,2002,170,"Biography,Drama,History"
tt0269480,movie,Lime,2001,92,"Drama,Family"
tt0269483,movie,Lone Star State of Mind,2002,88,"Comedy,Crime"
tt0269490,movie,De älskande i San Fernando,2001,92,Drama
tt0269499,movie,Ma femme est une actrice,2001,95,"Comedy,Drama,Romance"
tt0269500,movie,Macerás ügyek,2001,100,Drama
tt0269624,movie,Nexxt,2001,116,"Comedy,Drama,Horror"
tt0269687,tvSeries,Papá mendigo,2001,60,"Drama,Romance"
tt0269742,movie,Puder,2001,90,"Comedy,Drama"
tt0269746,movie,Ni na bian ji dian,2001,116,"Drama,Romance"
tt0269771,movie,Reines d'un jour,2001,96,"Comedy,Drama"
tt0269792,movie,I Love Budapest,2001,100,"Drama,Romance"
tt0269993,movie,Tündérdomb,2001,73,Comedy
tt0270020,movie,Utolsó vacsora az Arabs Szürkénél,2001,90,Comedy
tt0270023,movie,VII. Olivér,2001,110,Comedy
tt0270035,movie,Felhö a Gangesz felett,2002,143,Drama
tt0270053,movie,Vizontele,2001,110,"Comedy,Drama,History"
tt0270137,tvSeries,Iyanla,2001,60,Talk-Show
tt0270179,movie,24,2001,78,Drama
tt0270197,movie,American Gun,2002,89,Drama
tt0270259,movie,The Business of Strangers,2001,84,"Drama,Thriller"
tt0270270,movie,Century Hotel,2001,97,"Drama,Mystery,Romance"
tt0270288,movie,Confessions of a Dangerous Mind,2002,113,"Biography,Comedy,Crime"
tt0270291,movie,Coral Reef Adventure,2003,45,Documentary
tt0270349,movie,Everyday,2003,84,"Action,Drama"
tt0270393,movie,Groom Lake,2002,92,"Horror,Sci-Fi"
tt0270417,movie,How to Go Out on a Date in Queens,2006,90,"Comedy,Romance"
tt0270480,movie,Juana la Loca,2001,115,"Biography,Drama,History"
tt0270487,movie,MacArthur Park,2001,86,"Action,Drama"
tt0270515,movie,Miss Wonton,2001,87,Drama
tt0270522,movie,Mounted by the Gods,2003,90,Documentary
tt0270523,movie,The Movie Orgy,2009,420,"Comedy,Documentary,History"
tt0270569,movie,La pena máxima,2001,80,Comedy
tt0270688,movie,Teknolust,2002,85,"Comedy,Drama,Romance"
tt0270707,movie,The Truth About Charlie,2002,104,"Mystery,Thriller"
tt0270792,tvSeries,The Mole,2001,60,"Adventure,Game-Show,Mystery"
tt0270841,movie,Cyber Wars,2004,103,"Action,Drama,Sci-Fi"
tt0270846,movie,Superbabies: Baby Geniuses 2,2004,88,"Comedy,Family,Sci-Fi"
tt0270891,movie,Costa!,2001,95,"Comedy,Romance"
tt0270911,movie,Bad Boy,2002,83,"Comedy,Drama,Romance"
tt0270918,movie,All You Need,2001,105,Drama
tt0270971,movie,Go Tigers!,2001,103,"Documentary,Sport"
tt0270980,movie,My Boss's Daughter,2003,86,"Comedy,Romance"
tt0270987,movie,Harikomi,2001,79,Drama
tt0270991,movie,Hollywood Vampyr,2002,90,"Drama,Horror,Thriller"
tt0271000,movie,Hus i helvete,2002,100,Drama
tt0271017,movie,Eden,2001,91,"Drama,Romance,War"
tt0271018,movie,Jane White Is Sick & Twisted,2002,84,"Comedy,Drama,Romance"
tt0271020,movie,The Jimmy Show,2001,96,"Comedy,Drama"
tt0271027,movie,Kiss of the Dragon,2001,98,"Action,Crime,Thriller"
tt0271031,movie,Känd från TV,2001,96,Comedy
tt0271045,movie,The Other Brother,2002,94,"Comedy,Drama"
tt0271053,movie,Manhattan Midnight,2001,90,"Action,Thriller"
